Date,State,Confirmed,Death,Cured
7/17/2020,Uttar Pradesh,41383,1012,25743
7/19/2020,Uttar Pradesh,47036,1108,28664
7/20/2020,Uttar Pradesh,49247,1146,29845
7/21/2020,Uttar Pradesh,51160,1192,30831
7/22/2020,Uttar Pradesh,53288,1229,31855
7/23/2020,Uttar Pradesh,55588,1263,33500
7/24/2020,Uttar Pradesh,58104,1289,35803
7/25/2020,Uttar Pradesh,60771,1348,37712
7/26/2020,Uttar Pradesh,63742,1387,39903
7/27/2020,Uttar Pradesh,66988,1426,41641
